Zn Content (wt. %),Co Cotent (wt. %),Fe Cotent (wt. %),N Content (at. %),O Content (at. %),S Content (at. %),Pyridinic Ratio,Pyrrolic Ratio,Graphitic Ratio,Oxidized Ratio,Content of Pyridinic Species (at. %),Content of Pyrrolic Species (at. %),Content of Graphitic Species (at. %),Content of Oxidized Species (at. %),Raman ID/IG Ratio,BET Surface Area (m2 g-1),Micropore Ratio,Mesopore Ratio,Catalyst Loading on RDE/RRDE(mg cm-2),Fe Precursor Ratio,Zn Precursor Ratio,2-Methylimidazole Precursor Ratio,Additive (Other) Precursor Ratio,ZIF Preparation Temperature (¡æ),ZIF Preparation Time (h),One-Pot Method,Post-Adsorb Method,Carbon-Derivative Adsorb Method,Pyrolysis Temperature (¡æ),Pyrolysis Time (h),Temperature Rising Rate (¡æ min-1),Seconde Pyrolysis,Acid Wash,Half Wave Potential in Acid Condition (vs. RHE),HW_0.78,HW_0.8,HW_0.82,Rotating Speed (rpm),PYMT_0.01,PYMT_0.02,PYMT_0.03
0.0092,0,0.0553,0.07288,0.12901,0,0.551437092,0.174003826,0.166717553,0.104092202,0.040188735,0.012681399,0.012150375,0.00758624,1.005310814,706.3,0.35408,0.64592,0.5,0.005570893,0.105846973,0.888582134,0,25,24,1,0,0,950,2,5,0,0,0.81,1,1,0,1600,1,1,1
0.0002,0,0.0518,0.08448,0.09894,0,0.558098391,0.18267187,0.205042937,0.066774937,0.047148152,0.01543212,0.017322027,0.005641147,1.001823223,507.66,0.19964,0.80036,0.5,0.004784892,0.09091294,0.763211382,0.141090786,25,24,1,0,0,950,2,5,0,0,0.8,1,1,0,1600,1,1,1
0,0.0124,0.0172,0.036,0.029,0,0.353389312,0.01,0.56253128,0.084079408,0.012722015,0.00036,0.020251126,0.003026859,0.95,565,0.14338,0.54014,0.8,0.032258065,0.107526882,0.860215054,0,25,24,1,0,0,1100,1,5.187500494,0,0,0.8,1,1,0,900,1,0,0
0,0,0.027952863,0.086439271,0.086996542,0,0.534884524,0.175236368,0.233656208,0.050025034,0.046235028,0.015147304,0.020197072,0.004324127,1.035389411,980,0.29,0.71,0.4,0.019607843,0.196078431,0.784313725,0,120,4,1,0,0,900,3,3.676853866,0,0,0.765,0,0,0,1600,1,1,1
0,0,0.049,0.033,0.070879067,0,0.443030842,0.12345387,0.348089993,0.107174401,0.014620018,0.004073978,0.01148697,0.003536755,1.034127979,626,0.22,0.78,0.4,0.00990099,0.099009901,0.396039604,0.495049505,120,4,1,0,0,900,3,3.169492648,0,0,0.77,0,0,0,1600,1,0,0
0,0,0.049,0.033,0.069992114,0,0.43158479,0.118447623,0.354926861,0.114081957,0.014242298,0.003908772,0.011712586,0.003764705,1.048720301,622,0.25,0.75,0.4,0.013157895,0.131578947,0.526315789,0.328947368,120,4,1,0,0,900,3,3.324252797,0,0,0.77,0,0,0,1600,1,0,0
0.004,0,0.0112,0.034,0.019,0,0.403772473,0.01,0.457942823,0.138284704,0.013728264,0.00034,0.015570056,0.00470168,1.71,396,0.12125,0.57044,0.6,0.001475824,0.191859469,0.806664707,0,25,24,0,0,1,700,1,30,0,0,0.84,1,1,1,900,1,0,0
0.007,0,0.0033,0.032,0.022,0,0.399,0.01,0.471,0.13,0.012768,0.00032,0.015072,0.00416,1.71,396,0.12125,0.57044,0.6,0.001475824,0.191859469,0.806664707,0,25,24,0,0,1,400,1,30,0,0,0.78,1,0,0,900,1,0,0
0,0,0.0128,0.022,0.017,0,0.29,0.01,0.565,0.145,0.00638,0.00022,0.01243,0.00319,1.71,396,0.12125,0.57044,0.6,0.001475824,0.191859469,0.806664707,0,25,24,0,0,1,1100,1,30,0,0,0.79,1,0,0,900,0,0,0
0,0,0.052,0.044,0.077831835,0,0.560871246,0.172395314,0.21067357,0.055124749,0.024678335,0.007585394,0.009269637,0.002425489,0.99,1323.7,0.12926,0.87074,0.622,0.001782511,0.110913054,0.887304434,0,25,48,0,1,0,900,4,3,1,1,0.76,0,0,0,1600,1,1,0
0,0,0.012,0.117,0.080999856,0,0.541309755,0.151617013,0.196695449,0.082843953,0.063333241,0.017739191,0.023013368,0.009692743,0.95,622.4,0.6535,0.3464,0.622,0.001782511,0.110913054,0.887304434,0,25,48,0,1,0,900,2,3,0,1,0.68,0,0,0,1600,1,1,1
0,0,0.047,0.05,0.074844059,0,0.596996816,0.1535158,0.175652302,0.079723699,0.029849841,0.00767579,0.008782615,0.003986185,0.89,1263.9,0.8616,0.1383,0.622,0.001782511,0.110913054,0.887304434,0,25,48,0,1,0,900,2,3,1,1,0.72,0,0,0,1600,1,1,0
0,0,0.015,0.102,0.079567853,0,0.544245511,0.160072287,0.198069697,0.066044491,0.055513042,0.016327373,0.020203109,0.006736538,0.97,689,0.7936,0.2063,0.622,0.001782511,0.110913054,0.887304434,0,25,48,0,1,0,900,4,3,0,1,0.735,0,0,0,1600,1,1,1
0,0,0.0058,0.0701,0.056044903,0,0.2664,0.1971,0.3159,0.2206,0.01867464,0.01381671,0.02214459,0.01546406,1.97,465,0.6275,0.3724,0.4,0.042935363,0.238172864,0.686771576,0.039502003,86.51748197,13.4901488,0,1,0,1000,1,9.718282006,1,1,0.64,0,0,0,1600,1,0,0
0,0,0.0058,0.0633,0.070371464,0,0.2888,0.168,0.2384,0.3048,0.01828104,0.0106344,0.01509072,0.01929384,2.22,1167,0.4045,0.5955,0.4,0.025064534,0.263154755,0.677960496,0.03618295,77.98037169,13.21335981,0,1,0,1000,1,7.991162892,1,1,0.744,0,0,0,1600,1,0,0
0,0,0.0058,0.00707,0.060293572,0,0.2746,0.1588,0.3972,0.1694,0.001941422,0.001122716,0.002808204,0.001197658,1.98,761.3295932,0.3432,0.6567,0.4,0.0341967,0.214542564,0.677678262,0.073917616,83.01482042,13.64475816,0,1,0,1000,1,8.113887068,1,1,0.729,0,0,0,1600,0,0,0
0.006,0,0.02,0.0221,0.0118,0,0.227272727,0.01,0.613636364,0.159090909,0.005022727,0.000221,0.013561364,0.003515909,0.88,624,0.1294,0.4113,0.8,0.004775549,0.191021968,0.804202483,0,60,24,1,0,0,1100,1,6.277123915,0,0,0.85,1,1,1,900,0,0,0
0,0,0.021283566,0.058476868,0.057195917,0,0.353092784,0.136597938,0.368556701,0.141752577,0.02064776,0.00798782,0.021552042,0.008289247,0.969431144,1036,0.694,0.294,0.578986059,0.005528173,0.105035286,0.889436541,0,25,1,1,0,0,900,2,2,1,1,0.735,0,0,0,1600,1,1,0
0,0,0.021269789,0.062400608,0.064203241,0,0.384313725,0.184313725,0.321568627,0.109803922,0.02398141,0.011501289,0.020066078,0.006851831,1.011089976,774,0.613,0.342,0.57002697,0.011056346,0.099507113,0.889436541,0,25,1,1,0,0,900,2,2,1,1,0.71,0,0,0,1600,1,1,0
0,0,0.021216732,0.06081256,0.062983431,0,0.363636364,0.156565657,0.393939394,0.085858586,0.022113658,0.009521158,0.023956463,0.00522128,1.00549856,736,0.509,0.462,0.536563331,0.016584519,0.09397894,0.889436541,0,25,1,1,0,0,900,2,2,1,1,0.68,0,0,0,1600,1,1,0
0,0,0.032500722,0.065501574,0.077107417,0,0.314102564,0.173076923,0.461538462,0.051282051,0.020574212,0.011336811,0.030231496,0.003359055,1.036239507,552,0.249,0.708,0.483236761,0.027640865,0.082922594,0.889436541,0,25,1,1,0,0,900,2,2,1,1,0.605,0,0,0,1600,1,1,0
0,0.0178,0.010307455,0.0381,0.0592,0,0.188481675,0.348167539,0.248691099,0.214659686,0.007181152,0.013265183,0.009475131,0.008178534,1.009496923,260.52,0.376097205,0.543553567,0.51,0,0.073470078,0.857142857,0,25,12,1,0,0,900,3,2,1,1,0.6,0,0,0,1600,0,0,0
0,0.0031,0.010720477,0.0038,0.6809,0,0.394736842,0.01,0.105263158,0.5,0.0015,0.000038,0.0004,0.0019,1.095754811,342.37,0.604179287,0.389644544,0.51,0,0.068352925,0.857142857,0,25,12,1,0,0,900,3,2,1,1,0.65,0,0,0,1600,0,0,0
0,0.0076,0.015207762,0.0536,0.0517,0,0.167924528,0.509433962,0.096226415,0.226415094,0.009000755,0.02730566,0.005157736,0.012135849,1.017908729,234.3,0.366155676,0.537768466,0.51,0,0.081599827,0.855303221,0.001819402,25,12,1,0,0,900,3,2,1,1,0.72,0,0,0,1600,0,0,0
0,0.0076,0.013617663,0.0374,0.2766,0,0.264705882,0.318181818,0.139037433,0.278074866,0.0099,0.0119,0.0052,0.0104,1.084483274,418.75,0.362036479,0.584571302,0.51,0,0.15957586,0.784949393,0.012311358,25,12,1,0,0,900,3,2,1,1,0.6,0,0,0,1600,0,0,0
0,0,0.017857628,0.052311552,0.0586066,0,0.369507188,0.113449121,0.4086322,0.133752749,0.019329494,0.0059347,0.021376185,0.006996814,1.079277944,322,0,0.0409,0.8,0.000617115,0.285129823,0.714253063,0,25,1,1,0,0,1050,2,4,0,0,0.73,0,0,0,1600,1,0,0
